Name,Location,Study Program,Sector,Affiliation,Rating
Murray College Sialkot,N/A,FA ICS Computer Science Icom FSc Pre Engineering FSc Pre Medical ,N/A,Affiliate with Punjab University,5*
Unique Group of Institutions Lahore,"106-A New Muslim Town, Lahore",FSc Pre Medical FSc Pre Engineering ICS FA General Science Icom,N/A,"BISE Lahore
 Cambridge University",4*
"Govt. Postgraduate College for Women Samanabad, Lahore",Samanabad Lahore,FA FSc Pre Engineering FSc Pre Medical ICom ICS ,Public,N/A,1*
Punjab Group of Colleges Gujranwala,"29-A, Civil Lines Session, Court Road, Gujranwala",FA FSc Pre Engineering FSc Pre Medical ICom ICS  Computer Science FA General Science,Private,N/A,3*
Punjab Group of Colleges PGC Faisalabad,05 Km jaranwala Near PSO Petrol Pump Faisalabad,FA FSc Pre Engineering FSc Pre Medical ICom ICS  Computer Science FA General Science,Private,N/A,2*
Army Public College of Management and Sciences APCOMS Rawalpindi,"Ordnance Road, Rawalpindi Cantt, ",FA FSc Pre Engineering FSc Pre Medical FA ICS,N/A,N/A,5*
Royal Group of Colleges Gujranwala,"Paracha Center Near PACE Main G.T Road, Gujranwala",FA FSc Pre Engineering FSc Pre Medical FA General Science ICs Computer Science Icom Dcom DBA,Private,N/A,4*
Superior Group of Colleges Rawalpindi,"34 B-1, Chandni Chowk Satellite Town Rawalpindi",FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,Private,N/A,3*
Girls Cadet College Abbottabad,Mansehra Road Near UBL Zonal Office Abbottabad,FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom  ,N/A,N/A,1*
Govt Emerson College Multan,"EMERSON COLLEGE ROAD (BOSAN ROAD), MULTAN, .",FSc Pre Medical FSc Pre Engineering FA General Science ICs Computer Science Icom,N/A,N/A,4*
Kips Academy Multan,"Bosan Road-1KIPS College Near Bank Alfalah, Multan",FA Icom ICs Computer Science FSc Pre Engineering FSc Pre Medical ,N/A,N/A,4*
"Stars Educational Network, Head Office Johar Town Lahore","590-Q, Main Boulevard, Johar Town, Lahore, ",FSc Pre Engineering FSc Pre Medical FA Arts ICS Computer Science ICOM ICS,Private,BISE Lahore Board & Punjab University Lahore,3*
"Govt. College For Boys Gulberg, Lahore","Qazafi Stadium, Ferozepur Road Lahore.",Fsc Pre Engineering FSc Pre Medical ICS ICOM FA Arts,Public,N/A,3*
Govt College Township Lahore,"Government College Township, College Road Township Lahore",FA FSc Pre Engineering FSc Pre Medical ICom ICS ,Public,"Board of Intermediate and Secondary Education Lahore 
 University of the Punjab Lahore",3*
Agricultural University Peshawar Khyber Pukhtunkhwa,"NWFP Agricultural University Peshawar , ",Fsc FA ,Public,N/A,0*
Pakturk International School and College,"Pakturk International School & College, Plot # 87-88, Faiz Ahmad Faiz Road, H-8/1, Islamabad",FA A Level FSc Pre Medical FSc Pre Engineering ICS Icom,Private,N/A,0*
Concordia Colleges Lahore,"10-II Gurumangat Road, Gulberg-III, Lahore.",FA Arts FSc Pre Engineering FSc Pre Medical ICS Computer Science Icom ACCA,Private,N/A,1*
Swedish Institute of Engineering And Technology Rawalpindi,"D-324, Commercial Market, Satellite Town, Rawalpindi.",DAE Civil Technology DAE Electronics Technology DAE Electrical Technology DAE Mechanical Technology DAE Information Technology DAE Telecommunication FSc Pre Engineering FSc Pre Medical Icom ICS ,N/A,N/A,4*
School of Nursing Holy Family Hospital Rawalpindi,School of Nursing Holy Family Hospital Rawalpindi,FA FSc Pre Medical FSc Pre Engineering,Private,N/A,0*
FG PostGraduate College for Women Kashmir Road Rawalpindi,KASHMIR ROAD RAWALPINDI CANTT RAWALPINDI,ICS FSc Pre Engineering FSc Pre Medical FA Icom,Private,N/A,0*
Superior Group of Colleges Sargodha,"Sargodha Campus, Satellite Town, Sargodha.",FA FSc Pre-Medical FSc Pre-Engineering ICS Icom,Private,N/A,5*
"Cadet College, Jhelum","Pir Shahab GT Road Jhelum, Post Box No.30 (GPO Jhelum), Punjab ",Pre Medical FSc Pre Engineering ICS,N/A,N/A,3.25*
Govt Apwa College for Women Lahore,"65 Jail Road, Lahore, Punjab, . 54000",FA ICOM ICS FSc Pre Medical FSc Pre Engineering ICS Physics,Public,"BISE Lahore 
 Punjab University Lahore",1*
"Govt. College for Women, Gulberg Lahore",Gulberg Lahore,FSc Pre Engineering FSc Pre Medical ICS FA I.Com,N/A,N/A,2*
"Peak Solution, Lahore","42-A Lower Mall , Near Civil Secretriate, Lahore",ICs Computer Science Icom FSc Pre Engineering FSc Pre Medical FA,N/A,N/A,4*
Aitchison College Lahore,"Aitchison College, Upper Mall, Lahore",A Level FSc Pre Engineering FSc Pre Medical Icom ICS,N/A,N/A,3.75*
"Divisional Public School & Inter College Model Town, Lahore","Model Town, lahore",FA I.COM ICS FSC Pre Medical FSC Pre Engieenring,N/A,N/A,0*
Government College For Women University Sialkot,Sialkot,FSc Pre Medical  FSc Pre Engineering FA General Science FA Computer Sciene FA ICS Icom,Public,N/A,3.75*
KIPS Academy Satiana Road Campus Faisalabad,"575-B, Millat Plaza, Satiana Road, Faisalabad",FA FSc Pre Engineering FSc Pre Medical ICom ICS  Computer Science,Private,N/A,3*
Govt Zamindar Post Graduate College Gujrat,Bhimber Road Gujrat,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science ICom FA General Science ,Public,N/A,5*
Govt Sadiq Egerton College Bahawalpur,Govt Sadiq Egerton College Bahawalpur,FA FSc Pre-Medical FSc Pre-Engineering ICS FA General Science,Public,N/A,5*
Jinnah College for Women Peshawar,"University Campus, Peshawar",FA General Science FSc Pre Engineering FSc Pre Medical ICs Computer Science Fsc FA,N/A,University of Peshawar,1*
Govt. Gordon College Rawalpindi,"Liaquat Rd, Rawalpindi, Punjab, ",FA ICs Computer Science FSc Pre Medical Fsc pre Engeerning Icom,N/A,N/A,5*
"Shiblee College of Commerce & Science, Faisalabad",135-C People’s Colony Faisalabad,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science Icom CA ACCA FIA ,N/A,N/A,4*
Govt Post Graduate Islamia College Gujranwala,Govt Post Graduate Islamia College Gujranwala,FA FSc Pre-Engineering FSc Pre-Medical ICS ICom FA General Science,Public,N/A,1.25*
Allama Iqbal Open University Aiou Sialkot,"Regional Center, Allama Iqbal Open University, Mohallah Mumtaz pura, Hajipura, Daska road, Sialkot.",FSc Pre Engineering ICs Computer Science FSc Pre Medical Higher Secondary School Certificate (Dars-E-Nazami Group) Icom FA,N/A,N/A,5*
"Defence Degree College For Women, Lahore","487 - FF, Phase IV, DHA, Lahore Cantt",FSc Pre Medical FSc Pre Engineering ICS I.Com FA,N/A,N/A,2*
Islamabad Model College for Girls F-10/2,Islamabad Model College for Girls F-10/2 Islamabad,FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,N/A,N/A,0*
NISA Girls College Sialkot,"Anwar Club Road, Sialkot",FA ICs Computer Science Icom FSc Pre Engineering Fsc Pre Medical,N/A,N/A,5*
Ace Institute of Health Sciences Lahore,"6-P, Model Town Extension, Lahore",FSc Lab Technology FSc Physiotherapy FSc Dental Hydienist FSc Operation Theater FSc Imaging Technology FSc Ophthalmology ,N/A,"BISE Lahore 
 University of Health Sciences Lahore",0*
Govt Post Graduate College For Women Wahdat Colony Lahore,Govt Post Graduate College for Women Wahdat Colony Lahore,FA FSc Pre Engineering FSc Pre Medical ICom FA General Science ICS,Public,N/A,1*
Bilquis College of Education for Women PAF Chaklala Rawalpindi,PAF Chaklala Rawalpindi,FA Fsc genrel science ,Private,N/A,0*
Govt Islamia College Railway Road Lahore,"Railway Road, Lahore",FA Fsc Pre Medical FSc Pre Engineering ICS Icom Fsc General Science,Public,"BISE Lahore 
 Punjab University Lahore",4*
Sardar Bahadur Khan Womens University Quetta,"Sardar Bahadur Khan Women's University, Bawrery Road Quetta, Balochistan, ",F.A Fsc Pre Medical FSc Pre Engineering ICS,Public,N/A,0*
Allama Iqbal Open University-AIOU-Quetta,"Regional Campus, Allama Iqbal Open University Eastern By Pass, Takhtani Road, QUETTA.",Intermediate in Commerce (I.Com Higher Secondary School Certificate (Dars-E-Nizami Group) Higher Secondary School Certificate (General Group) ,Public,N/A,0*
Allama Iqbal Open University-AIOU Sargodha,"House No. 66, Civil Lines, Kachery Road, Sargodha Cantt",ICom,Private,N/A,5*
Govt Post Graduate College Asghar Mall Rawalpindi,"Asghar Mall, Rawalpindi",FSc Pre Engineering FSc Pre Medical ICS FA General Science FA I.Com,Public,N/A,1*
Cadet College Kohat,Cadet College Kohat,FA Icom FSc Pre Engineering FSc Pre Medical ICs Computer Science,N/A,N/A,0*
"Limkokwing University Of Creative Technology (Cyberjaya, Malaysia)","Inovasi 1-1, Jalan Teknokrat 1/1, 63000 Cyberjaya, Selangor, Malaysia",Diploma in Graphic Design Technology Diploma in Product Design,Private,Degree awarding institution,5*
KIPS Academy Shaheenabad Campus Gujranwala,"Opp. Shaheenabad, G.T Road..GUJRANWALA",Fsc Pre Engineering Fsc Pre Medical FA Icom ICs Computer Science,N/A,N/A,4.5*
OPF Girls College Islamabad,"F-8/2, Islamabad",FA FA General Science FSc Pre Medical FSc Pre Engineering ICS A Level Icom,Private,N/A,5*
College of Tourism & Hotel Management COTHM Karachi,"G-4/A, Block-17, Gulshan-e-Iqbal (Behind National Stadium) Karachi",Intermediate in Hotel Operations (PBTE) Intermediate in Culinary Arts (PBTE),N/A,N/A,0*
"College of Medical Technologies (CMT) PIMS, Islamabad",PIMS Sector G-8/3 Islamabad,Fsc Medical Laboratory Technology FSc Ophthalmic Technology FSc Dental Hygiene FSc Medical Imaging Technology FSc Physiotherapy Technology Fsc OT Technology,N/A,N/A,0*
Govt. Model College for Women Model Town Lahore,Model Town Lahore,Icom FA Fsc ICS FSc Engineering Fsc Medical,N/A,N/A,0*
Kips Academy Islamabad,"21-B Metropolitian Plaza , Near National Bank G-9 Markaz",FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,N/A,N/A,0*
University College of Islamabad,"St. 21, F-8/2, Islamabad",FA ICs Computer Science,N/A,N/A,5*
Govt Shalimar College Baghbanpura Lahore,"College Road, Baghbanpura, Lahore, ",FSc Pre Medical FSc Pre Engineering ICS FA General Science FA Arts Icom,N/A,"BISE Lahore 
 University of the Punjab",3*
DJ Sindh Govt Science College Karachi,Dr Ziauddin Ahmed Road  Chowk Saddar Town Karachi ,Fsc Pre Engineering FSc Pre Medical ICS ICOM FA,Public,N/A,5*
Army Public School and College Rawalpindi,Fort Road Near Code Rawalpindi,FSc Pre Medical FSc Pre Engineering ICS FA I.Com,N/A,N/A,3*
Bahria College Islamabad,Naval Complex E-8 Islamabad,ICs Computer Science FSc General Science FSc Pre Engineering FSc Pre Medical,Private,N/A,0*
Govt College for Women Karkhana Bazar Faisalabad,Govt College for Women Karkhana Bazar Faisalabad,FA FSc Pre-Medical FSc Pre-Engineering ICS Icom FA General Science,Public,N/A,1.25*
Fauji Foundation College For Boys Rawalpindi,"New Lalazar, Rawalpindi, ",FA FSc Pre Engineering FSc Pre Medical ICS ICom,N/A,N/A,5*
Imperial College of Technology Lahore,6-Allama Iqbal Road Bohar Wala Chowk Lahore.,DAE Mechanical Technology DAE Electrical Technology DAE Civil Technology DAE Electronics Technology ,Private,N/A,0*
STUDENTS’ INN,"Junaid Plaza, Block-6, Gulshan-e-Iqbal",FSc Pre Medical FSc Pre Engineering Icom ICS Computer Science,N/A,N/A,5*
"Al-Hamd Academy, Karachi","166-E, Block-3, P.E.C.H.S., Behind Danish Motors, Off: Khalid Bin Waleed Road Karachi",FSc Pre Engineering Fsc Pre Medical ICom ,N/A,N/A,5*
Govt College for Women Madina Town Faisalabad,Govt College for Women Madina Town Faisalabad,FA FSc Pre Medical FSc Pre Engineering ICS ICom FA General Science,Public,N/A,0*
SKANS School of Accountancy Lahore,"3-C-1, Gulberg III, off M.M. Alam Road, Lahore",ICom,N/A,N/A,4*
Aga Khan Higher Secondary School Karachi,"1-5.B-VII, Karimabad, Federal 'B' Area, Karachi 75950, .",FSc Pre Medial FSc Pre Engineering ICS Icom,N/A,N/A,4*
Roots College International Islamabad,"74 Harley Street, Rawalpindi, ",FSc Pre Engineering FSc Pre Medical ICS FA Icom ACCA,Private,"Roots College International, Rawalpindi",0*
Army Public College Saddar Karachi,Iqbal Shaheed Road Saddar Karachi,Fsc Pre Engineering Fsc Pre Medical FA Icom ICs Computer Science,N/A,N/A,5*
"Tabani S School Of Accountancy (Tsa), Karachi","187/P, Near PECHS Girls College PECHS, Block 2, Shahrah-e-Quaideen. P.O. Box 8922 Karachi -75400",FSc Pre Engineering FSc Pre Medical Engineering Icom FA General Science,N/A,N/A,0*
Govt Post Graduate College Sahiwal,Government Post-Graduate College Sahiwal Qutab Sahana Road Sahiwal,FA FSc Pre-Engineering FSc Pre Medical FA General Science ICS Computer Science Icom,N/A,N/A,4*
Hazrat Ayesha Siddiqa Model Degree College Lahore,Hazrat Ayesha Siddiqa Model Degree College Timber Market Ravi Road Lahore ,Fsc Pre Engineering FSc Pre Medical ICS ICOM FAFA Humanities Fsc General Science,Public,"Board of Intermediate and Secondary Education Lahore 
 University of the Punjab Lahore",0*
Superior Group of Colleges Sialkot,"Kashmir Road Pacca Garha, Sialkot",FA ICs Computer Science Icom FSc Pre Engineering Fsc Pre Medical,Private,N/A,5*
Maritime Training Institute Karachi,"Mariners Fairway 43 Timber Pond,Kemari, P.O.Box 4668, Karachi-75620",National Diploma in Engineering,N/A,N/A,0*
"Edwardes College, Peshawar","Edwardes College, University of Peshawar The Mall, Peshawar Cantt. NWFP, ",FA General Science FSc Pre Medical FSc Pre Engineering A Level FSc Computer Science FA Arts,N/A,N/A,4*
Northwest College Of Nursing Peshawar,"Near Peshtakhara Chowk, Opp. Amin Masjid, Ring Road, Hayatabad Peshawar.",FSc Pre Medical,N/A,N/A,0*
Frontier Institute of Medical Sciences Abbottabad,"Old Degree College Road, Mandian, Abbottabad ",FSc Pre Medical Fsc Pre Engineering,N/A,N/A,3*
"Khyber Medical College, Peshawar","KMC, University Road, Peshawar",FA FSc Pre Medical FSc Pre Engineering ICs Computer Science Icom FCs Computer Science,N/A,N/A,0*
The Limit Group of Colleges Faisalabad,"People’s Colony No 1, Faisalabad, ",FA FSc Pre Engineering FSc Pre Medical Icom Dcom DAE,Private,"University of the Punjab Lahore 
Bahauddin Zakariya University Multan",4.25*
Punjab College of Commerce Multan,"16 A, Gulgasht Colony,Boson Road",FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,Private,N/A,0*
Govt Dyal Singh College Lahore,"25 - Nisbet Road, Lahore",FA Arts FSc Pre Engineering FSc Pre Medical Icom ICS,Public,"Board of Intermediate and Secondary Education Lahore 
 University of the Punjab Lahore",3*
ILM College Gujrat,"Younas Fan Building, Opposite Small Industries Gate No 1, GT Road, Gujrat",FA Icom ICS Computer Science Fsc Pre Engineering Fsc Pre Medical,N/A,N/A,1*
Govt Fatima Jinnah College for Women Lahore,Govt Fatima Jinnah College for Women Chuna Mandi Lahore,FA Art Fsc Pre Engineering FSc Pre Medical ICom ICS FA General Science ,Public,N/A,0*
Cadet College Kallar Kahar Chakwal,"Cadet College Kallar Kahar, District Chakwal",FSc Pre Engineering ICS Computer Science FSc Pre Medical,Public,N/A,5*
Government Post Graduate College No.1 Abbottabad,Government Post Graduate College No.1 Abbottabad,FA FSc Pre Engineering FSc Pre Medical,Public,N/A,1*
Kips Academy Satellite Town Campus Rawalpindi,"784-F, 6th Road, Satellite Town, Rawalpindi",FSc Pre Engineering Fsc Pre Medical ICom ICS FA,Private,N/A,5*
Government College Women University Sialkot,Sialkot,FA Fsc Pre Medical FSc Pre Engineering ICS Computer Science ICom,Public,N/A,3*
Superior Group of Colleges Multan,"Neel Kot Boson Road, Multan",Icom ICs Computer Science FSc Pre Medical FSc Pre Engineering FA,Private,N/A,0*
Central College Kalma Chowk Lahore,"58-L, Gulberg III, Near Kalma Chowk Lahore",FSc Pre Medical Fsc Pre Engineering ICom ICS FA,N/A,University of Sargodha,5*
